NumberOfReviews,HotelClass,rating
1241,4.0,5.0
582,4.0,5.0
272,3.5,5.0
864,5.0,5.0
531,3.0,5.0
1133,5.0,4.5
1023,3.5,5.0
955,5.0,5.0
310,5.0,5.0
331,4.0,5.0
914,4.0,5.0
292,3.0,5.0
585,5.0,4.5
432,0.0,5.0
764,3.0,5.0
475,5.0,5.0
251,5.0,5.0
254,0.0,5.0
246,4.0,5.0
1379,3.0,5.0
1424,3.0,4.5
214,4.0,5.0
277,4.0,5.0
562,3.0,5.0
231,3.5,5.0
295,3.0,5.0
387,3.0,5.0
241,4.5,5.0
206,3.0,5.0
805,5.0,5.0
819,4.0,5.0
395,4.0,5.0
245,4.0,5.0
2117,5.0,5.0
1789,4.0,4.5
365,5.0,5.0
561,4.0,5.0
463,3.0,5.0
524,0.0,5.0
496,4.0,5.0
897,4.0,4.5
475,3.0,5.0
369,5.0,5.0
253,4.0,5.0
210,4.0,4.5
141,5.0,5.0
398,4.0,5.0
246,3.0,5.0
486,0.0,5.0
319,4.0,5.0
